"HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV,ABLK","APF"
"CHI",101.91176470588235,29.38235294117647,62.794117647058826,7.794117647058823,22.11764705882353,19.764705882352942,25.205882352941178,13.294117647058824,32.73529411764706,22.61764705882353,12.823529411764707,6.911764705882353,18.0,"CHI",99.96875,28.40625,60.09375,7.625,21.375,20.28125,25.75,10.875,35.375,20.53125,6.3125,14.125,5.125,18.5
"MIL",98.16129032258064,30.096774193548388,62.29032258064516,7.129032258064516,18.129032258064516,16.580645161290324,21.096774193548388,11.096774193548388,31.806451612903235,24.0,16.354838709677413,5.225806451612903,20.967741935483872,"MIL",97.3030303030303,30.87878787878788,62.84848484848485,6.757575757575758,19.060606060606062,15.272727272727272,20.242424242424242,9.212121212121215,30.848484848484848,22.757575757575758,9.969696969696969,15.696969696969697,4.454545454545453,22.848484848484848
"ATL",103.26470588235294,27.88235294117647,54.26470588235294,10.264705882352942,26.61764705882353,16.705882352941178,21.41176470588235,8.911764705882353,32.411764705882355,26.61764705882353,13.470588235294118,4.411764705882352,17.11764705882353,"ATL",102.3,27.866666666666667,56.1,9.766666666666664,25.433333333333334,17.266666666666666,22.2,8.333333333333332,32.0,24.46666666666666,8.7,13.866666666666667,5.066666666666665,18.6
"DET",100.12121212121212,28.151515151515152,60.303030303030305,8.696969696969699,25.363636363636363,17.727272727272727,25.03030303030303,12.636363636363637,31.757575757575758,22.333333333333332,12.151515151515152,4.363636363636362,18.666666666666668,"DET",95.90322580645162,28.612903225806452,62.096774193548384,7.967741935483871,24.483870967741936,14.774193548387096,20.903225806451612,13.516129032258064,33.129032258064505,19.774193548387096,8.032258064516132,13.870967741935484,4.709677419354839,19.612903225806452
"GSW",113.23333333333333,31.633333333333333,58.666666666666664,11.433333333333334,27.733333333333334,15.666666666666664,20.4,9.666666666666668,34.5,29.466666666666665,14.233333333333333,5.966666666666667,18.866666666666667,"GSW",106.21212121212122,30.0,60.36363636363637,9.909090909090908,26.696969696969695,16.484848484848488,21.484848484848484,10.878787878787879,34.51515151515152,24.696969696969695,9.303030303030301,14.666666666666666,6.2727272727272725,20.606060606060606
"HOU",101.3030303030303,24.515151515151516,50.24242424242424,11.484848484848484,33.54545454545455,17.818181818181817,24.848484848484848,11.969696969696969,32.03030303030303,21.575757575757574,15.878787878787879,5.030303030303029,21.454545454545453,"HOU",105.29032258064517,26.258064516129032,51.225806451612904,11.774193548387096,33.61290322580645,17.451612903225808,24.258064516129032,12.193548387096774,31.35483870967742,22.548387096774192,8.70967741935484,16.48387096774194,4.548387096774195,23.161290322580644
"OKC",104.9,31.7,64.00000000000001,7.4,22.333333333333332,19.3,24.366666666666667,12.633333333333333,36.13333333333333,21.1,14.366666666666667,6.633333333333334,22.666666666666668,"OKC",100.11764705882354,30.08823529411765,63.05882352941177,7.4411764705882355,22.647058823529413,17.61764705882353,23.941176470588236,11.941176470588236,34.352941176470594,20.264705882352946,6.676470588235294,13.735294117647058,5.529411764705882,21.764705882352942
"PHI",94.25,25.875,56.09375,8.375,25.40625,17.375,24.5625,11.28125,32.03125,22.75,17.0,6.46875,21.53125,"PHI",87.12499999999999,24.375,56.125,7.6875,25.0,15.312500000000002,23.75,12.0,30.40625,18.125,9.9375,18.125000000000004,5.4375,20.78125
"WAS",101.65625,32.90625,66.25000000000001,6.34375,16.71875,16.812499999999996,21.874999999999996,10.65625,34.4375,25.28125,15.1875,5.156249999999999,20.90625,"WAS",95.06250000000001,31.937500000000004,65.37500000000003,5.53125,16.625,14.59375,20.25,10.468750000000002,32.78124999999999,22.84375,6.375,13.90625,4.15625,21.25
"BKN",96.03333333333333,30.066666666666666,61.96666666666667,6.566666666666666,20.3,16.2,22.366666666666667,10.0,32.3,20.366666666666667,13.866666666666667,3.4,20.066666666666666,"BKN",96.48484848484848,29.939393939393938,61.60606060606061,6.696969696969697,20.242424242424242,16.515151515151512,21.757575757575754,10.515151515151516,31.515151515151516,20.272727272727273,6.96969696969697,14.0,4.818181818181818,19.87878787878788
